11,How does Stepper Motor Works - Part 1,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Introduction to unipolar/bipolar stepper motors and working principles.,2012-03-10,education,4258,0,Ober,Protip,Beginner,"MY, SG, TH, WWW",Motor,TRUE,https://my.cytron.io/tutorial/how-does-stepper-motor-works-part-1,"['Stepper Motor', 'Unipolar', 'Bipolar', 'Hybrid Stepper', '2 phase stepper', '3 phase stepper', 'Motor Driver']","[{'name': '35BY48L Stepper Motor', 'price': '16', 'quantity': '1'}, {'name': '5V 28BYJ-48 Stepper Motor + ULN2003 Driver Board', 'price': '8', 'quantity': '1'}, {'name': 'NEMA 17HS4401 Bipolar Stepper Motor', 'price': '39', 'quantity': '1'}, {'name': '12V 28BYJ-48 Stepper Motor + ULN2003 Driver Board', 'price': '8', 'quantity': '1'}]",
12,How Does Stepper Motor Works - Part 2,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,"Extended explanation on stepper motors, including hybrid motors.",2012-05-13,education,7020,0,Ober,Protip,Beginner,"MY, SG, TH, VN, WWW",Motor,TRUE,https://my.cytron.io/tutorial/how-does-stepper-motor-works-part-2,,,
13,MD10C Fast Testing,UPDATED,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Quick test guide for MD10C motor driver.,2012-09-11,education,3454,0,ktchen89,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Motor/Motor Driver,TRUE,https://my.cytron.io/tutorial/md10c-fast-testing,"['Motor Driver', 'MD10C', 'fast test', 'Motor Driver']",,
14,Getting Started with Arduino Uno,UPDATED,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Beginner tutorial for Arduino Uno setup and first program.,2012-11-14,education,5565,1,Ober,Tutorial,Beginner,"MY, SG, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-with-arduino-uno,"['Arduino Uno', 'Beginner Guide', 'Microcontroller', 'DIY Electronics', 'Programming', 'Embedded Systems', 'Maker Projects', 'Arduino IDE', 'Electronics', 'Getting Started', 'Arduino Ecosystem']","[{'name': 'Arduino UNO WiFi Rev2.0 Dev Board', 'price': '279', 'quantity': '1'}, {'name': 'Maker UNO Edu Kit (Arduino Compatible)', 'price': '54', 'quantity': '1'}]",
15,Arduino Buying Guide,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Comparison and guide to choosing Arduino boards.,2012-11-17,education,1688,0,Ober,Protip,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/arduino-buying-guide-2,"['Arduino', 'DUE', 'buying guide', 'Different', 'Why Arduino', 'Arduino Ecosystem']",,
16,Getting Started with Arduino – PRO Mini,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Beginner guide to using Arduino Pro Mini board with UC00A USB-to-serial adapter.,2012-11-24,education,2430,0,Ober,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-arduino-pro-mini,"['Arduino', 'PRO Mini', 'UC00A Rev2.0', 'Arduino Ecosystem']",,
17,Controlling MD10C with Arduino,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Tutorial on using Arduino to drive MD10C motor driver.,2013-07-29,education,6122,0,bengchet,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/controlling-md10c-with-arduino,"['Motor Driver', 'Control', 'MD10C', 'Signed Magnitude', 'Locked Anti Phase', 'Motor Driver']",,
19,Moisture sensor module (SN-MOISTURE-MOD),UPDATED,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Intro to Arduino-compatible soil moisture sensor.,2014-07-07,education,2478,0,khlim8,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Electronic, Arduino",TRUE,https://my.cytron.io/tutorial/moisture-sensor-module-sn-moisture-mod,"['arduino uno', 'moisture sensor', 'Sensor']",,
20,Rain Sensor Module (SN-RAIN-MOD),UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Intro to Arduino-compatible rain detection sensor.,2014-07-08,education,2457,0,khlim8,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Electronic, Arduino",TRUE,https://my.cytron.io/tutorial/rain-sensor-module-sn-rain-mod,"['arduino uno', 'rain sensor module', 'Sensor']",,
21,Introducing CT-UNO!,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Launch of Cytron’s Arduino UNO-compatible board.,2014-11-04,education,2278,0,Idris,News,Not a project,"MY, SG, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/introducing-ct-uno,"['CT-UNO', 'Arduino Ecosystem']","[{'name': 'Cytron UNO - Arduino UNO Compatible', 'price': '58', 'quantity': '1'}]",
22,Raspberry Pi + Processing + CT UNO,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Integration of Raspberry Pi with Processing and CT UNO.,2014-11-07,education,1436,0,Idris,Project,Intermediate,"MY, SG, TH, VN, WWW","Arduino, Raspberry Pi",TRUE,https://my.cytron.io/tutorial/raspberry-pi-processing-ct-uno-part-1,"['Arduino', 'Raspberry Pi', 'java', 'Intermediate', 'Arduino Ecosystem', 'Raspberry Pi']",,
23,Raspberry Pi + Processing + CT UNO (Part 2),DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Continuation of Raspberry Pi & CT UNO integration tutorial.,2014-11-07,education,997,0,Idris,Project,Intermediate,"MY, SG, WWW","Arduino, Raspberry Pi",TRUE,,,,
24,Cytron Uno Starter Kit Book,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Book/manual for Cytron’s Arduino starter kit.,2015-01-05,education,1535,0,Idris,News,Not a project,"MY, SG, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/cytron-uno-starter-kit-book,"['CT-UNO', 'Starter Kit', 'Cytron uno', 'Arduino Ecosystem', 'News']","[{'name': 'Starter Kit for Cytron Uno', 'price': '105', 'quantity': '1'}]",
25,Sensing: Vibration and Tilt,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Using vibration and tilt sensors with microcontrollers.,2015-04-04,education,3181,0,geneccyann,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/sensing-vibration-tilt,"['Microcontroller', 'Vibration Sensor', 'Tilt sensor', 'Sensor']",,
26,Using MDD10A with ARDUINO UNO,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Driving dual DC motors with MDD10A and Arduino Uno.,2015-04-05,education,3165,0,geneccyann,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/using-mdd10a-arduino-uno,"['Motor Driver', 'arduino uno', 'CT-UNO', 'MDD10A', 'Arduino Ecosystem', 'Motor Driver']",,
27,Arduino + PS2 shield + MDDS10 for mobile robot control,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,"Build a mobile robot with Arduino, PS2 shield, and MDDS10 motor driver.",2015-06-24,education,3671,0,suadanwar,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/arduino-ps2-shield-mdds10-mobile-robot-control,"['Arduino', 'wireless', 'DC motor', 'Serial Communication', 'robots', 'smartdriveduo-10', 'cytron ps2 shield', 'Arduino Ecosystem', 'Motor Driver']",,
28,ESP8266 Tutorial Part I - Getting Started,RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Introduction to ESP8266 WiFi module with Arduino.,2015-06-30,education,1701,0,bengchet,Tutorial,Beginner,"MY, SG, TH, VN, WWW",IoT/ESP32,TRUE,https://my.cytron.io/tutorial/getting-started-wifi-serial-transceiver-module-esp8266,"['WiFi', 'Arduino Compatible', 'ESP8266', 'Wireless & IoT']",,
29,Improve MDDS10 Performance With External Fan,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Guide to cooling MDDS10 motor driver using external fan.,2015-07-13,education,2114,0,Idris,Protip,Beginner,"MY, SG, TH, WWW",Motor/Motor Driver,TRUE,https://my.cytron.io/tutorial/improve-mdds10-performance-external-fan,"['Motor Driver', 'MDDS10', 'fan', 'higher current', 'maximum', 'Motor Driver']","[{'name': '10Amp 7V-35V SmartDrive DC Motor Driver (2 Channels)', 'price': '220', 'quantity': '1'}]",
30,4x4x4 LED Cube using Arduino UNO without extra IC,RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Tutorial to build 4x4x4 LED cube with Arduino Uno (no extra ICs).,2015-08-17,education,2777,0,OoiBP,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/4x4x4-led-cube-using-arduino-uno-without-extra-ic,"['Arduino', 'LED', 'LED cube', 'cube', 'Arduino Ecosystem', 'Miscellaneous']",,
31,Raspberry Pi: LED Blinking using Python,UPDATED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Beginner tutorial for LED blinking on Raspberry Pi using Python.,2015-08-21,education,1554,0,Idris,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Raspberry Pi,TRUE,https://my.cytron.io/tutorial/raspberry-pi-led-blinking-using-python,"['LED', 'Beginner', 'Raspberry Pi', 'python', 'Raspberry Pi']",,
32,How to choose a suitable DC motor?,RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Remake,,Guide to selecting the right DC motor for projects.,2015-08-28,education,3873,0,fatehah,Protip,Beginner,"MY, SG, TH, VN, WWW",Motor/Motor Driver,TRUE,https://my.cytron.io/tutorial/choose-suitable-motor,"['RC servo', 'motor', 'Motor Driver', 'DC motor', 'Encoder', 'Stepper Motor', 'buying guide', 'robots', 'Motor Driver']",,
33,Arduino + 2A Motor Shield + Encoder Motor,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Controlling motors with Arduino and 2A Motor Shield.,2016-04-04,education,5655,0,dreamer,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/arduino-2a-motor-shield-encoder-motor,"['motor', 'Arduino', 'lcd keypad shield', 'Encoder', 'CT-UNO', 'resistor', 'cytron screw terminal shield', '2amp motor driver shield', 'IG32E35K', 'ACTUATOR', 'Arduino Ecosystem', 'Motor Driver']",,
34,Raspberry Pi: GUI with a Remote Desktop Connection,UPDATED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Revamp,,Setup Raspberry Pi GUI access using Remote Desktop.,2016-07-15,education,1859,0,Khairul_Tajudin,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Raspberry Pi,TRUE,https://my.cytron.io/tutorial/raspberry-pi-gui-remote-desktop-connection,"['wireless', 'GUI', 'Remote monitor', 'WiFi', 'USB to UART', 'Raspberry Pi', 'TP-LINK WIFI DONGLE', 'Intermediate', 'Raspberry Pi']",,
35,Raspberry Pi: Control DC Motor using MDDS10,UPDATED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Revamp,,Control DC motor with Raspberry Pi + MDDS10 driver.,2016-07-26,education,5543,0,Khairul_Tajudin,Tutorial,Beginner,"MY, SG, TH, WWW","Raspberry Pi, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/raspberry-pi-control-dc-motor-using-mdds10,"['jumper wire', 'Motor Driver', 'DC motor', 'Lipo', 'autonomous robot controller', 'smartdriveduo-10', 'robot chassis', 'Raspberry Pi', 'TP-LINK WIFI DONGLE', 'controller', 'Intermediate', 'Raspberry Pi', 'Motor Driver']","[{'name': '10Amp 7V-35V SmartDrive DC Motor Driver (2 Channels)', 'price': '220', 'quantity': '1'}, {'name': 'Raspberry Pi 3 Model B', 'price': '163', 'quantity': '1'}]",
36,Peak Current vs Continuous/Rated Current,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Explains difference between peak and continuous current for motors.,2016-12-01,education,36368,0,Khairul_Tajudin,Protip,Not a project,"MY, SG, TH, WWW",Motor/Motor Driver,TRUE,https://my.cytron.io/tutorial/peak-current-vs-continuousrated-current,"['Motor Driver', 'MDDS10', 'MD13S', 'Comparison', 'Continuous current', 'Peak Current', 'Motor Driver']","[{'name': '10Amp 7V-35V SmartDrive DC Motor Driver (2 Channels)', 'price': '220', 'quantity': '1'}, {'name': '60Amp 7V-45V SmartDrive DC Motor Driver (2 Channels)', 'price': '720', 'quantity': '1'}, {'name': '13Amp 6V-30V DC Motor Driver', 'price': '55', 'quantity': '1'}, {'name': '30Amp 7V-35V SmartDrive DC Motor Driver (2 Channels)', 'price': '316', 'quantity': '1'}]",
37,Let's Arduino Control Your SmartDriveDuo-60,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,Controlling SmartDriveDuo-60 motor driver with Arduino.,2017-01-25,education,2779,0,Idris,Tutorial,Beginner,"MY, SG, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/lets-arduino-control-smartdriveduo-60,"['robot', 'Arduino', 'CT-UNO', 'MDDS60', 'Motor Driver']","[{'name': '60Amp 7V-45V SmartDrive DC Motor Driver (2 Channels)', 'price': '720', 'quantity': '1'}]",
38,Let’s Arduino Control Your SmartDriveDuo-10,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,Control SmartDriveDuo-10 dual channel motor driver.,2017-03-13,education,2421,0,muhammadzaihanif_,Tutorial,Beginner,"MY, SG, TH, VN, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/lets-arduino-control-smartdriveduo-10,"['smartdriveduo10', '10A motor driver', 'mdds10 smartdriveduo-10', '2x10A', 'RC mode', 'PWM Driver', '2 Channel', 'Arduino Ecosystem', 'Motor Driver']",,
39,Controlling MD10C DC Motor Driver Using Arduino Nano,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Tutorial on using Arduino Nano with MD10C driver.,2017-03-15,education,29287,0,Bhavithiran,Tutorial,Beginner,"MY, SG, TH, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/controlling-10a-dc-motor-driver-using-arduino-nano,"['MD10C', 'Arduino Nano', 'Arduino Nano', 'DC Motor Driver', 'Motor Control', 'Electronics', 'DIY Projects', 'Motor Driver', 'Embedded Systems', 'Arduino', 'DC Motor', '10A Motor', 'Motor Driver']","[{'name': '10Amp 5V-30V DC Motor Driver', 'price': '55', 'quantity': '1'}, {'name': 'Arduino Nano Main Board', 'price': '139', 'quantity': '1'}, {'name': 'Maker Nano: Simplifying Arduino for Projects', 'price': '35', 'quantity': '1'}, {'name': '12V 580RPM 3.5kgfcm GM25 High Power Brushed DC Geared Motor', 'price': '49', 'quantity': '1'}]",
40,Installing Raspbian OS on Raspberry Pi for Windows,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Step-by-step OS installation using Windows.,2017-04-25,education,2833,0,Idris,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Raspberry Pi,TRUE,https://my.cytron.io/tutorial/installing-raspbian-os-raspberry-pi-windows,"['Beginner', 'Raspberry Pi', 'Raspbian OS', 'Raspberry Pi']",,
41,Getting Started with Raspberry Pi Zero W,UPDATED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Introductory tutorial for Raspberry Pi Zero W.,2017-05-02,education,3186,0,Idris,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Raspberry Pi,TRUE,https://my.cytron.io/tutorial/getting-started-raspberry-pi-zero-w,"['Beginner', 'Raspberry Pi']",,
42,Introducing 30A Dual Channel DC Motor Driver with Smart Features - SmartDriveDuo-30,RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Remake,,Product launch of SmartDriveDuo-30 motor driver.,2017-06-06,education,4524,0,Idris,News,Not a project,"MY, SG, TH, VN, WWW",Motor/Motor Driver,TRUE,https://my.cytron.io/tutorial/introducing-30a-dual-channel-dc-motor-driver-smart-features-smartdriveduo-30,"['SmartDriveDuo-30', 'DC motor driver', 'dual channel', 'high power motor driver', 'smart motor control', 'PWM control', 'Arduino', 'Raspberry Pi', 'robotics', 'motor automation', 'Motor Driver']","[{'name': '30Amp 7V-35V SmartDrive DC Motor Driver (2 Channels)', 'price': '316', 'quantity': '1'}]",
43,Getting Started with 3A Motor Driver Shield and Arduino Uno,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,Control DC motors with 3A Motor Driver Shield.,2017-06-15,education,3865,0,Idris,Tutorial,Beginner,"MY, SG, TH, WWW","Arduino, Motor/Motor Driver",TRUE,https://my.cytron.io/tutorial/getting-started-3a-motor-driver-shield,"['Arduino', 'Motor Driver', 'Arduino Shield', 'Motor Driver']","[{'name': '0.8Amp 5V-26V DC Motor Driver Shield for Arduino (2 Channels)', 'price': '48', 'quantity': '1'}, {'name': '1.2Amp 7V-30V DC Motor Driver Shield for Arduino (2 Channels)', 'price': '79', 'quantity': '1'}]",
44,Getting Started with Light Sensor Module (SN-LIGHT-MOD),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Tutorial on SN-LIGHT-MOD Arduino-compatible module.,2017-07-10,education,3530,0,SC,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-light-sensor-module-sn-light-mod,"['Cytron', 'sensor', 'Arduino', 'CT-UNO', 'SN-LIGHT-MOD', 'Light Sensor Module', 'Sensor']",,
45,Getting Started with Encoder Sensor Module (SN-ENC-MOD),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Tutorial on SN-ENCODER-MOD module for Arduino.,2017-07-12,education,2620,0,SC,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-encoder-sensor-module-sn-enc-mod,"['Motor Driver', 'DC motor', 'CT-UNO', 'Encoder Sensor Module', 'Sensor']",,
46,Getting Started with Temperature Sensor (Celsius) (SN-LM35DZ),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Using LM35/Celsius sensor with Arduino.,2017-07-13,education,1660,0,SC,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-temperature-sensor-celsius-sn-lm35dz,"['Cytron', 'sensor', 'Arduino', 'Temperature sensor', 'CT-UNO', 'Sensor']",,
47,Getting Started with Mifare RC522 RFID Kit (RFID-RC522),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Beginner guide to MFRC522 RFID/NFC module.,2017-08-10,education,1905,0,SC,Tutorial,Beginner,"MY, SG, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/getting-started-mifare-rc522-rfid-kit-rfid-rc522,"['RFID', 'MFRC522', 'Sensor']","[{'name': 'RFID/NFC Module Kit (13.56MHz)', 'price': '0', 'quantity': '1'}]",
48,Raspberry Pi Zero W and Pi Camera Application,UPDATED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Example projects using Pi Zero W and Pi Camera.,2017-08-16,education,5080,0,SC,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Raspberry Pi,TRUE,https://my.cytron.io/tutorial/raspberry-pi-zero-w-pi-camera-application,"['RaspberryPiZeroW', 'PiCamera', 'IoT', 'EmbeddedSystems', 'DIY', 'Maker', 'Electronics', 'HomeAutomation', 'Surveillance', 'RaspberryPi', 'Raspberry Pi']","[{'name': 'Raspberry Pi Zero W', 'price': '72', 'quantity': '1'}, {'name': '5MP OV5647 Camera Module for Raspberry Pi', 'price': '29', 'quantity': '1'}]",
49,[BM]Arduino VS Raspberry Pi- Perbezaan Asas Diantara Arduino dan Raspberry Pi,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Edit Thumbnail,,Malay-language comparison of Arduino vs Raspberry Pi.,2017-10-27,education,1809,0,SC,Protip,Beginner,"MY, SG, TH, VN, WWW","Arduino, Raspberry Pi",TRUE,https://my.cytron.io/tutorial/arduino-vs-raspberry-pi-perbezaan-asas-diantara-arduino-dan-raspberry-pi,"['Beginner', 'arduino uno', 'raspberry pi 3', 'Arduino Ecosystem', 'Raspberry Pi']",,
50,Maker Uno IoT with ESP8266 Module and Blynk Apps – 1. Hardware Setup (BM),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Using ESP8266 with Maker UNO for IoT + Blynk.,2018-02-02,education,1529,0,Idris,Project,Beginner,"MY, SG, TH, VN, WWW","Arduino, IoT/ESP32",TRUE,https://my.cytron.io/tutorial/maker-uno-iot-esp8266-module-blynk-apps-1-hardware-setup-bm,"['arduino uno', 'ESP8266', 'IoT', 'Maker Uno', 'Internet of Things', 'Blynk', 'Arduino Ecosystem', 'Wireless & IoT']","[{'name': 'Breadboard 8.5x5.5cm (400 Holes)', 'price': '2', 'quantity': '1'}, {'name': 'ESP-01 WiFi Serial Transceiver Module (ESP8266)', 'price': '7', 'quantity': '1'}, {'name': 'Maker UNO: Simplifying Arduino for {Education}', 'price': '36', 'quantity': '1'}]",
51,Maker Uno IoT with ESP8266 Module and Blynk Apps – 2. Software Setup (BM),RE-EDIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edit Thumbnail,,Continuation of Maker UNO + ESP8266 IoT tutorial.,2018-02-12,education,1376,0,Idris,Project,Beginner,"MY, SG, TH, VN, WWW","Arduino, IoT/ESP32",TRUE,https://my.cytron.io/tutorial/maker-uno-iot-esp8266-module-blynk-apps-2-software-setup-bm,"['arduino uno', 'ESP8266', 'Maker Uno', 'Blynk', 'Arduino Ecosystem', 'Wireless & IoT']",,
52,Program Your Raspberry Pi 3 with Arduino Create (BM),DISABLE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Outdated,,Using Arduino Create to program Raspberry Pi 3.,2018-04-18,education,862,0,Idris,Protip,Intermediate,"MY, SG, TH, VN, WWW","Raspberry Pi, Arduino",TRUE,https://my.cytron.io/tutorial/program-raspberry-pi-3-arduino-create-bm,"['Beginner', 'Raspberry Pi', 'Arduino Create', 'Raspberry Pi']",,
