ID,Title,Description,Link,Summarize,Summarized Caption,Group/Channel,Mode,Date,Hour (24),Minute (60),Execute,Status,Scheduled At,Sent At,Category,Relevancy,,
16,A Trip to Sarawak!,"IKM (Institut Kemahiran MARA) Kuching requested training, and I have the chance to visit Kuching, the capital of Sarawak. Both my colleague and I went to our..",https://my.cytron.io/tutorial/a-trip-to-sarawak,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
17,You need Arduino?,"Many have requested us to distribute Arduino, and we did it! Now you can get the main board from here, the category on the Cytron site is under Arduino..",https://my.cytron.io/tutorial/you-need-arduino,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
18,All in One Super Charger!,....,https://my.cytron.io/tutorial/all-in-one-super-charger,Off,,,,-,-,-,Off,,-,-,News/Articles,Outdated,,
19,Yeah! UIC00B and SK40C Restock!,....,https://my.cytron.io/tutorial/yeah-uic00b-and-sk40c-restock,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
20,After Crazy Sales is Crazy Packing!,"Cytron 6th Anniversary Crazy Sales! Everyone loves it, we love it. Just our sales department is still crazy packing the orders :) Yes, they are still packing!..",https://my.cytron.io/tutorial/after-crazy-sales-is-crazy-packing,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
21,Express Wiring - Less Than 30 Seconds,"Yes, everyone like to take the expressway. I learned the hard way :) yet still like to take the faster method. I would like to share about using the jumper wire..",https://my.cytron.io/tutorial/express-wiring-less-than-30-seconds,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
22,Is It Hard to Solder?,"If you are a beginner, you might have difficulty soldering your first PCB project, Yet again, an electronics project will most likely require some soldering..",https://my.cytron.io/tutorial/is-hard-to-solder,Off,"Tutorial | Is It Hard to Solder?

New to electronics and intimidated by soldering? 😨 Don't worry, we've all been there! While your first PCB project might seem daunting, soldering is a crucial skill for any electronics enthusiast. 🧰

This tutorial breaks down the basics and helps you overcome the initial hurdles. Get ready to melt some solder (responsibly, of course! 😉) and bring your projects to life! 🚀

🔗 Tutorial: https://my.cytron.io/tutorial/is-hard-to-solder&tracking=content&utm_campaign=telegram-posts

#soldering #electronics #tutorial #pcb #diy
",Test,Instant,-,-,-,Off,,-,-,Tips & Tricks,Disabled,,
23,An Arduino Room Monitoring Web Server,"In this project, we will use Ethernet shield..",https://my.cytron.io/tutorial/an-arduino-room-monitoring-web-server,Off,,,,-,-,-,Off,,-,-,Arduino,Outdated,,
24,Getting Started with SK40C & PIC16F887,"SK40C + PIC16F887 BEGINNER GUIDE
SK40C is another enhanced version of 40 pins PIC microcontroller start up kit. It is designed to offer an easy-to-start solutio..",https://my.cytron.io/tutorial/getting-started-sk40c-pic16f887,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
25,"Project 0 – My 1st PIC project, load a simple LED blink","In this project, we are going to do a simple LEDs blinking using the LEDs on SK40C. In here, we are using both of the LEDs and blink it like a police car. ..",https://my.cytron.io/tutorial/project-0-my-1st-pic-project-load-a-simple-led-blink,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
26,Project 1 – LED Blinking: LED Chaser,"In project 1, you are about to experience how to program a LED chaser which can be increase the running speed by just a single button pushing...",https://my.cytron.io/tutorial/project-1-led-blinking-led-chaser,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
27,Project 2 – Hello World with Parallel LCD,"For project 2, we will show you how to interface the SK40C board will parallel 16x2 LCD display. The connection are simple and the coding are easy to learn...",https://my.cytron.io/tutorial/project-2-hello-world-with-parallel-lcd,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
28,Project 3 – Digital Input: Push button,"For this project, we will discover how to manage a digital input signal. As we know that digital signal is either HIGH (1) and LOW (0) only...",https://my.cytron.io/tutorial/project-3-digital-input-push-button,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
29,Project 5 – Analog Sensor: Temperature using LM35,"Nowadays, there are many type of temperature sensor . In here, we pick LM35 as our temperature sensor due to it have a linear output and also..",https://my.cytron.io/tutorial/project-5-analog-sensor-temperature-using-lm35,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
30,Project 10 – Driving DC brush motor with MD10C,MD10C is an enhanced version of the MD10B which is designed to drive high current brushed DC motor up to 10A continuously...,https://my.cytron.io/tutorial/project-10-driving-dc-brush-motor-with-md10c,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
31,Project 12 – 7 segment display with CD4511 encoder,We can use the CD4511 (7 segment encoder) to help on decreasing the microcontroller I/O port and only required to send the binary data...,https://my.cytron.io/tutorial/project-12-7-segment-display-with-cd4511-encoder,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
32,Project 7 – Analog Sensor: Range using Infrared distance sensor,Analog distance sensor which have a function that same as the Ultrasonic sensor which is use to measure range. Buthe output value are in (cm) and analog value...,https://my.cytron.io/tutorial/project-7-analog-sensor-range-using-infrared-distance-sensor,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
33,Project 8 – Piezo buzzer: Melody – Birthday Song,"Piezo buzzer, generally use as a sensor and actuator w. As for this project, we are going to use it to generate a melody by applying PWM frequency to it...",https://my.cytron.io/tutorial/project-8-piezo-buzzer-melody-birthday-song,Off,,,,-,-,-,Off,,-,-,PIC,Disabled,,
34,Project 9 – Analog Sensor: Light detection using LDR,A photoresistor or light dependent resistor (LDR) is a resistance decreases with increasing incident light intensity. It can be referred as a photoconductor. ..,https://my.cytron.io/tutorial/project-9-analog-sensor-light-detection-using-ldr,Off,,,,-,-,-,Off,Sent,-,2025-05-09 20:00:54,PIC,Disabled,,
35,PROJECT 0 - LED DICE,"Dice, which all of us are normally will use it when playing a games especially monopoly...",https://my.cytron.io/tutorial/project-0-led-dice,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
36,PROJECT 2 - GRAPHIC LCD DISPLAY,Arduino Duemilanove have come with a Graphic LCD shield which allow allow user to play with more pixel besides LCD...,https://my.cytron.io/tutorial/project-2-graphic-lcd-display,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
37,PROJECT 3 - LED CHASER,"Dice, which all of us are normally will use it when playing a games especially monopoly. LED dice, interesting project using LED except from LED blinking...",https://my.cytron.io/tutorial/project-3-led-chaser,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
38,PROJECT 5 - RC SERVO MOTOR POSITION,"For this project, we are going to discover how to control 2 RC servo motor together using Arduino Duemilano..",https://my.cytron.io/tutorial/rc-servo-motor-position,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
39,PROJECT 6 - TEMPERATURE SENSOR TO LCD DISPLAY,Arduino Duemilanova have come with 6 Analog to Digital Converter I/O with 10-bits resolution. How to interface LM35 temperature sensor to Arduino...,https://my.cytron.io/tutorial/project-6-temperature-sensor-to-lcd-display,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
40,PROJECT 10 - SERIAL COMMUNICATION CONTROL RC SERVO,How to control two RC servo's position through the serial monitor of Arduino programmer...,https://my.cytron.io/tutorial/project-10-serial-communication-control-rc-servo,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
41,PROJECT 12 - SERIAL COMMUNICATION CONTROL DC MOTOR,"Since we have try how to control DC motor with temperature, how about we try how to control DC motor with our PC while sending temperature value to our PC...",https://my.cytron.io/tutorial/project-12-serial-communication-control-dc-motor,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
42,PROJECT 8 - ANALOG DISTANCE SENSOR TO LCD DISPLAY,"Analog distance sensor, which are mainly use to measure the distance of an object. In this project, we going to interface this sensor to Arduino D..",https://my.cytron.io/tutorial/project-8-analog-distance-sensor-to-lcd-display,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
43,PROJECT 9 - LM35 CONTROL DC MOTOR SPEED,How to control the DC motor speed in PWM mode according to the changes of the LM35 temperature sensor like air-conditional...,https://my.cytron.io/tutorial/project-9-lm35-control-dc-motor-speed,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
44,Hacking ATX Power Supply?,....,https://my.cytron.io/tutorial/hacking-atx-power-supply,Off,,,,-,-,-,Off,,-,-,Tips & Tricks,Disabled,,
45,1 Day Robot Building (MC40A + Aluminum Base) for Edubot 2.0,Have you ever thought of making a mobile robot in 1 day? Now you have the chance with MC40A Mini Mobile Robot Controller + some accessories. Let’s have fun!..,https://my.cytron.io/tutorial/1-day-robot-building-mc40a-aluminum-base-for-edubot-2-0,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
46,Arduino Mini Workshop Dec 2011,....,https://my.cytron.io/tutorial/arduino-mini-workshop-dec-2011,Off,,,,-,-,-,Off,,-,-,,Disabled,,
47,Measuring Tilt Angle with Gyro and Accelerometer,....,https://my.cytron.io/tutorial/measuring-tilt-angle-with-gyro-and-accelerometer,Off,,,,-,-,-,Off,,-,-,,Disabled,,
48,LCD: Interfacing with PIC Microcontrollers (Part 1) - Hardware & Connection,....,https://my.cytron.io/tutorial/lcd-interfacing-with-pic-microcontrollers-part-1,Off,,,,-,-,-,Off,,-,-,,Disabled,,
49,Updating UIC00B Operating System,....,https://my.cytron.io/tutorial/updating-uic00b-operating-system,Off,,,,-,-,-,Off,,-,-,,Disabled,,
50,XBee Series 2 Point to Point Communication,Introduction....,https://my.cytron.io/tutorial/xbee-series-2-point-to-point-communication,Off,,,,-,-,-,Off,,-,-,,Disabled,,
51,How does Stepper Motor Works - Part 1,By SC Lim....,https://my.cytron.io/tutorial/how-does-stepper-motor-works-part-1,Off,,,,-,-,-,Off,,-,-,Robotics,Relevant,,
52,How Does Stepper Motor Works - Part 2,....,https://my.cytron.io/tutorial/how-does-stepper-motor-works-part-2,Off,,,,-,-,-,Off,,-,-,Robotics,Relevant,,
53,USB (Universal Serial Bus),"RH2T Magazine, Vol.3，March 2010....",https://my.cytron.io/tutorial/usb-universal-serial-bus,Off,,,,-,-,-,Off,,-,-,,Disabled,,
54,PID for Embedded Design,PID control system has been one of the industry's most mature and commonly used control strategies for decades thanks to its simple but effective algorithm...,https://my.cytron.io/tutorial/pid-for-embedded-design,Off,,,,-,-,-,Off,,-,-,,Disabled,,
55,Bracket for Digital Infrared Sensor,Ever think of mounting the Digital Infrared Sensor? This low-cost yet great sensor is attracting many applications. From obstacle avoidance on a mobile robot to..,https://my.cytron.io/tutorial/bracket-for-digital-infrared-sensor,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
56,MD10C Fast Testing,"When the proper connection and power supply are connected to MD10C, we can press either of these two buttons to test the MD10C by turning the DC motor in clockwise (CW) direction and counter-clockwise..",https://my.cytron.io/tutorial/md10c-fast-testing,Off,,,,-,-,-,Off,,-,-,Robotics,Relevant,,
57,Introduction to Embedded Electronics,"Robotics requires knowledge and skill in both hardware and software. Yet, I always stress hardware fundamentals. As basic and simple as a 5V supply is..",https://my.cytron.io/tutorial/embedded-electronics-introduction,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
58,Getting Started with Arduino Uno,"Good! You are here because you wanted to use Arduino. 1st thing 1st, you will need the necessary tools to get started...",https://my.cytron.io/tutorial/getting-started-with-arduino-uno,Off,,,,-,-,-,Off,,-,-,Arduino,OLD,,
59,Arduino Buying Guide,"Arduino is getting popular, but let’s admit it, there are many Arduino main boards and I am sure you are scratching your head when you want to buy one...",https://my.cytron.io/tutorial/arduino-buying-guide-2,Off,,,,-,-,-,Off,,-,-,Arduino,OLD,,
60,Getting Started with Arduino – BBFuino,"Good! You are here because you wanted to use Arduino. 1st thing 1st, you will need the necessary tools to get started...",https://my.cytron.io/tutorial/getting-started-with-arduino-bbfuino,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
61,Getting Started with Arduino – PRO Mini,"Good! You are here because you wanted to use Arduino. 1st thing 1st, you will need the necessary tools to get started...",https://my.cytron.io/tutorial/getting-started-arduino-pro-mini,Off,,,,-,-,-,Off,,-,-,Arduino,OLD,,
62,Getting Started with Arduino - Fio,"Good! You are here because you wanted to use Arduino. 1st thing 1st, you will need the necessary tools to get started, and this guide is meant for Arduino Fio..",https://my.cytron.io/tutorial/getting-started-arduino-fio,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
63,Getting Started with XBee-WiFi,"Yes, XBee now comes with another model that supports WiFi connection, which is the new XBee-WiFi module. We are carrying it now. You can get it under ..",https://my.cytron.io/tutorial/getting-started-xbee-wifi,Off,,,,-,-,-,Off,,-,-,IoT/ESP,Disabled,,
64,Remote Mobile Robot with XBee-WiFi,"Since Digi International (the company of XBee) has launched its WiFi module (XBee-WiFi), I am thinking to create a simple but interesting application using this..",https://my.cytron.io/tutorial/remote-mobile-robot-xbee-wifi,Off,,,,-,-,-,Off,,-,-,IoT/ESP,Disabled,,
65,Controlling MD10C with Arduino,....,https://my.cytron.io/tutorial/controlling-md10c-with-arduino,Off,,,,-,-,-,Off,,-,-,Robotics,Relevant,,
66,Remote Control with Shield-PS2 + G15 as wheel,Yes! The PS2 has an Arduino shield now! The Cytron PS2 Shield is designed to be compatible with SONY PS2 wired and wireless types. Previously I have written an..,https://my.cytron.io/tutorial/remote-control-shield-ps2-g15-wheel,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
67,SN-HC-SR04 + PIC16F887,Introduction....,https://my.cytron.io/tutorial/sn-hc-sr04-pic16f887,Off,,,,-,-,-,Off,,-,-,,Disabled,,
68,rero campaign in indiegogo,"Rero is being launched on IndieGoGo, a website for the world to raise funds from the world, and we are raising funds to create more interesting parts and produ..",https://my.cytron.io/tutorial/rero-campaign-indiegogo,Off,,,,-,-,-,Off,,-,-,,Disabled,,
69,RainbowBit – Smart RGB LED,"It has been an exciting year back in 2013. Besides launching ReRo on indiegogo.com, we have been busy with the development of Robot Head To Toe, not to forget..",https://my.cytron.io/tutorial/rainbowbit-smart-rgb-led,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
70,Getting Started with IOIO (Part 1),*Note: This tutorial will cover on IOIO V1.....,https://my.cytron.io/tutorial/getting-started-with-ioio-part-1,Off,,,,-,-,-,Off,,-,-,,Disabled,,
71,BBFuino Simon Says,"Ever heard “Simon Says” game? For those who not familiar with Simon, this was an early electronics game from the 70’s, where the user basically had to repeat back a sequence to the c....",https://my.cytron.io/tutorial/bbfuino-simon-says,Off,,,,-,-,-,Off,,-,-,,Disabled,,
72,Xbee WiFi in Soft AP Mode,There have a request from the customer on how to make the Xbee WiFi in AP mode. It means you can connect to Xbee WiFi directly without using a router. The previous version of Xbee WiFi (S6) is not sup..,https://my.cytron.io/tutorial/xbee-wifi-soft-ap-mode,Off,,,,-,-,-,Off,,-,-,,Disabled,,
73,Non-looped Maze Solving Robot with MC40A,"Hi, today I would like to write a tutorial on Non-looped Maze Solving Robot with MC40A. If you still remember the Remote Mobile Robot with XBee-WiFi tutorial, I use the same hardware for this tut....",https://my.cytron.io/tutorial/non-looped-maze-solving-robot-mc40a,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
74,"TM, we love you, but you’re killing us!","Don't get me wrong, we love TM and many of us sign-up for Streamyx and UniFi. I use it every day, just something to share out :)..",https://my.cytron.io/tutorial/tm-we-love-you-but-youre-killing-us,Off,,,,-,-,-,Off,,-,-,,Disabled,,
75,Remote Mobile Robot with XBee-WiFi (Android),"By combining these two tutorial (1) Remote Mobile Robot with XBee-WiFi and (2) Xbee WiFi in Soft AP Mode, we can have a Remote Mobile Robot with XBee-WiFi (Android).....",https://my.cytron.io/tutorial/remote-mobile-robot-xbee-wifi-android,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
76,Uploading Arduino Sketch to BBFuino via BlueBee,If you still remember the Arduino Fio (tutorial) where you can upload the Arduino sketch via Xbee (wireless). It is better if you have experience with it and of course you will love it because you can..,https://my.cytron.io/tutorial/uploading-arduino-sketch-bbfuino-via-bluebee,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
77,CuteDuino USB Tutorial,"Recently Cytron have launch a new product called CuteDuino (RM25 only!). If you are new to this product, please read the CuteDuino User’s Manual first. For quick start guide video....",https://my.cytron.io/tutorial/cuteduino-usb-tutorial,Off,,,,-,-,-,Off,,-,-,,Disabled,,
78,Wireless UART with Arduino and 433MHz or 434MHz module,"Last month, I was thinking of doing wireless temperature monitoring at my office. But I do not want to use WiFi or Bluetooth module, because WiFi is expensive and Bluetooth requires establishing......",https://my.cytron.io/tutorial/wireless-uart-arduino-433mhz-434mhz-module,Off,,,,-,-,-,Off,,-,-,,Disabled,,
79,TM! Now we really love you :),"Finally, our office has fiber optic Internet!..",https://my.cytron.io/tutorial/tm-now-really-love,Off,,,,-,-,-,Off,,-,-,,Disabled,,
80,New Light Weight Champion – PIC16F887,"I am sure if you are a supporter of PIC microcontrollers, you would know the famous PIC16F877A. Yet, time flies, and now a new PIC model that aims to replace 877A has emerged, PIC16F887...",https://my.cytron.io/tutorial/new-light-weight-champion-pic16f887,Off,,,,-,-,-,Off,,-,-,,Disabled,,
81,Arduino Wireless Programming (Bluetooth),"I already share Arduino Wireless Programming tutorial before, by using a BBFuino. But people ask me, how if I already have Arduino UNO, is there any shield that can do that? The answer is YE....",https://my.cytron.io/tutorial/arduino-wireless-programming-bluetooth,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
82,Remote Control FM Stereo Radio,"Nowadays, FM radio frequency had already become common for communication use.  It use for data transfer, Medical treatment, cosmetic treatment and more. Radio frequency (RF) is a rate of oscillatio....",https://my.cytron.io/tutorial/remote-control-fm-stereo-radio,Off,,,,-,-,-,Off,,-,-,,Disabled,,
83,PIC18F Hands-on Workshop with PTK40A,"PTK40A is a Cytron designed and produced PIC microcontroller Training Kit for students to learn about programming, electronics interface and microcontroller...",https://my.cytron.io/tutorial/pic18f-hands-workshop-ptk40a,Off,,,,-,-,-,Off,,-,-,,Disabled,,
84,Recovering Your XBee,"If you are familiar with XBee, you might have experience with the module not responding to the X-CTU or Terminal program or microcontroller. Yup, for an unknown..",https://my.cytron.io/tutorial/recovering-xbee,Off,,,,-,-,-,Off,,-,-,,Disabled,,
85,Introducing CIKU!,"We believe many PIC microcontroller lover like to utilize Arduino shield, so here comes the CIKU. CIKU is a microcontroller board based on the PIC18F4550. It has 20 digital input/output pins....",https://my.cytron.io/tutorial/introduced-ciku,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
86,Moisture sensor module (SN-MOISTURE-MOD),....,https://my.cytron.io/tutorial/moisture-sensor-module-sn-moisture-mod,Off,,,,-,-,-,Off,,-,-,,OLD,,
87,Rain Sensor Module (SN-RAIN-MOD),....,https://my.cytron.io/tutorial/rain-sensor-module-sn-rain-mod,Off,,,,-,-,-,Off,,-,-,,OLD,,
88,Singapore Mini Maker Faire 2014,"As an electronics amateur and Robot.Head to Toe company, we decided to attend Singapore Maker Faire. Yes, we are bringing rero to share the fun of building robots too...",https://my.cytron.io/tutorial/singapore-mini-maker-faire-2014,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
89,Getting Started with CIKU,*This document explains how to connect your CIKU board to the computer and upload your first program.....,https://my.cytron.io/tutorial/getting-started-ciku,Off,,,,-,-,-,Off,,-,-,,Disabled,,
90,DIY FM Radio,"If you happen to be at Singapore Maker Faire and check out our booth or our Cytron FaceBook Page pictures, you might notice that there is a Big Tradition Speaker with Arduino and a Long~~ antenna....",https://my.cytron.io/tutorial/diy-fm-radio,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
91,CIKU + LCD Keypad Shield,"1. CIKU board (link).
2. USB MiniB Cable (2.0) (link).
3. LCD Keypad Shield (link).SOFTWAREPlease refer to “Getting Started with CIKU” tutorial.CIKU LCD LIBRARY FUNCTIONB....",https://my.cytron.io/tutorial/ciku-lcd-keypad-shield,Off,,,,-,-,-,Off,,-,-,,Disabled,,
92,Using Cytron XBee Shield,Introduction....,https://my.cytron.io/tutorial/cytron-xbee-shield,Off,,,,-,-,-,Off,,-,-,,Disabled,,
93,Getting Started with IOIO (Part 2),"First thing when we get the IOIO board, for sure we want to test it with our Android phone, at least we know that the IOIO board is working, and it should be easy step, MUST be :-). So, this tuto....",https://my.cytron.io/tutorial/getting-started-ioio-part-2,Off,,,,-,-,-,Off,,-,-,,Disabled,,
94,CIKU + 2Amp Motor Driver Shield,"Hi, this tutorial will show you how to build line following robot by using CIKU and 2Amp Motor Driver Shield.....",https://my.cytron.io/tutorial/ciku-2amp-motor-driver-shield,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
95,Connect Android Bluetooth to BlueBee,"Nowadays, there have a lot of Android apps that can be used as a bluetooth controller to your microcontroller project. For example you can used Arduino BT Joystick to control your mobile rob....",https://my.cytron.io/tutorial/connect-android-bluetooth-bluebee,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
96,Modify Arduino IDE for CuteDuino,*Please refer to the latest tutorial on how to add Cuteduino into Arduino IDE. Click HERE.....,https://my.cytron.io/tutorial/modify-arduino-ide-cuteduino,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
97,Repairing CuteDuino Bootloader,"In case of having a broken bootloader, this tutorial will help you how to repair/fix it. You can use Arduino UNO or CT UNO (will launch soon) to be a programmer to your CuteDuino. I will using CT UNO ..",https://my.cytron.io/tutorial/update-cuteduino-bootloader,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
98,"Share SK40C project, get 50 likes, get a CIKU for FREE!","It is done! Successful, we received plenty of photos and video sharing of the project using SK40C and SK28A :) Many of these projects are very impressive...",https://my.cytron.io/tutorial/share-sk40c-project-get-50-likes-get-ciku-free,Off,,,,-,-,-,Off,,-,-,,Disabled,,
99,Introducing CT-UNO!,"Yes, this is Cytron version of Arduino UNO, we called it CT-UNO!!!....",https://my.cytron.io/tutorial/introducing-ct-uno,Off,,,,-,-,-,Off,,-,-,Arduino,,,
100,Raspberry Pi + Processing + CT UNO (Part 1),Credit to Stewart C. Russell for the tutorial PROCESSING 2.1 + ORACLE JAVA + RASPBERRY PI + SERIAL + ARDUINO = :).....,https://my.cytron.io/tutorial/raspberry-pi-processing-ct-uno-part-1,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
101,Raspberry Pi + Processing + CT UNO (Part 2),Credit to Stewart C. Russell for the tutorial PROCESSING 2.1 + ORACLE JAVA + RASPBERRY PI + SERIAL + ARDUINO = :D.....,https://my.cytron.io/tutorial/raspberry-pi-processing-ct-uno-part-2,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
102,CIKU - Create New Project from Scratch,"There are several return of CIKU board from customers, claiming the bootloader is corrupted. We have spotted a reason where user want to create their own project instead of using provided CIKU project..",https://my.cytron.io/tutorial/ciku-create-new-project-scratch,Off,,,,-,-,-,Off,,-,-,,Disabled,,
103,CT-UNO and CIKU have legs,You will get supporting plastic “leg” on CIKU and CT-UNO if your order is being shipped out from 20th Dec 2014 onwards. We have added 4 snap and fit supporting plastic ....,https://my.cytron.io/tutorial/ct-uno-ciku-legs,Off,,,,-,-,-,Off,,-,-,,Disabled,,
104,Cytron Uno Starter Kit Book,"1. LED Blinking
2. RGB LED
3. Create Melody with Piezo
4. 7 Segment Display
5. Serial Display on Computer
6. Push Button as Digital Input
7. Potentiometer as Analog Input
8. Light Dependent Res..",https://my.cytron.io/tutorial/cytron-uno-starter-kit-book,Off,,,,-,-,-,Off,,-,-,,,,
